date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:46:12	4747/4747	---M--	200	added ('OK')	text/css	date:Sat,%2012%20May%202018%2006:16:34%20GMT	http://mourithemes.com/mason/mason/css/responsive.css	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/css/responsive.css	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:13	46008/46008	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20May%202018%2006:16:01%20GMT	http://mourithemes.com/mason/mason/index.html	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/index.html	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:16	13183/13183	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2006:17:40%20GMT	http://mourithemes.com/mason/mason/images/about/about-1.jpg	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/images/about/about-1.jpg	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:17	15570/15570	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2006:17:59%20GMT	http://mourithemes.com/mason/mason/images/portfolio/port1.jpg	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/images/portfolio/port1.jpg	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:21	27743/27743	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2006:18:01%20GMT	http://mourithemes.com/mason/mason/images/portfolio/port3.jpg	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/images/portfolio/port3.jpg	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:22	28800/28800	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2006:18:02%20GMT	http://mourithemes.com/mason/mason/images/portfolio/port4.jpg	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/images/portfolio/port4.jpg	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:22	45258/45258	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2006:18:00%20GMT	http://mourithemes.com/mason/mason/images/portfolio/port2.jpg	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/images/portfolio/port2.jpg	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:24	2538/2538	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2006:18:08%20GMT	http://mourithemes.com/mason/mason/images/testimonial/testi-1.jpg	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/images/testimonial/testi-1.jpg	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:24	23926/23926	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2006:18:03%20GMT	http://mourithemes.com/mason/mason/images/portfolio/port5.jpg	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/images/portfolio/port5.jpg	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:25	3255/3255	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2006:18:08%20GMT	http://mourithemes.com/mason/mason/images/testimonial/testi-2.jpg	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/images/testimonial/testi-2.jpg	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:26	3847/3847	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2006:18:09%20GMT	http://mourithemes.com/mason/mason/images/testimonial/testi-3.jpg	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/images/testimonial/testi-3.jpg	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:26	32719/32719	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2006:18:04%20GMT	http://mourithemes.com/mason/mason/images/portfolio/port6.jpg	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/images/portfolio/port6.jpg	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:27	6772/6772	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2006:17:45%20GMT	http://mourithemes.com/mason/mason/images/brand/brand-1.png	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/images/brand/brand-1.png	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:28	7802/7802	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2006:17:45%20GMT	http://mourithemes.com/mason/mason/images/brand/brand-2.png	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/images/brand/brand-2.png	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:28	8908/8908	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2006:17:46%20GMT	http://mourithemes.com/mason/mason/images/brand/brand-3.png	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/images/brand/brand-3.png	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:29	9792/9792	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2006:17:46%20GMT	http://mourithemes.com/mason/mason/images/brand/brand-4.png	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/images/brand/brand-4.png	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:36	37045/37045	---M--	200	added ('OK')	application/javascript	date:Sat,%2012%20May%202018%2006:17:22%20GMT	http://mourithemes.com/mason/mason/js/bootstrap.min.js	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/js/bootstrap.min.js	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:37	41730/41730	---M--	200	added ('OK')	application/javascript	date:Sat,%2012%20May%202018%2006:17:27%20GMT	http://mourithemes.com/mason/mason/js/jquery.magnific-popup.js	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/js/jquery.magnific-popup.js	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:39	3011/3011	---M--	200	added ('OK')	application/javascript	date:Sat,%2012%20May%202018%2006:17:33%20GMT	http://mourithemes.com/mason/mason/js/wow.min.js	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/js/wow.min.js	(from http://mourithemes.com/mason/mason/index-particles.html)
16:46:40	249696/249696	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2006:17:41%20GMT	http://mourithemes.com/mason/mason/images/about/demo-cv.jpg	C:/Users/akash/Desktop/brickspace/beamspace/mourithemes.com/mason/mason/images/about/demo-cv.jpg	(from http://mourithemes.com/mason/mason/index-particles.html)
